tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.33712, 0.422017, 0.519675
tmfreqs:, 2, 0.111111, 0, 0, 0.111111, 0.0811204, 0.347417, 0.429307, 0.511152
tmfreqs:, 3, 0.222222, 0, 0, 0.222222, 0.154161, 0.376642, 0.448183, 0.49367
tmfreqs:, 4, 0.333333, 0, 0, 0.333333, 0.210777, 0.410028, 0.470463, 0.491496
tmfreqs:, 5, 0.444444, 0, 0, 0.444444, 0.243044, 0.415486, 0.485512, 0.541871
tmfreqs:, 6, 0.555556, 0, 0, 0.555556, 0.243044, 0.415486, 0.485512, 0.541871
tmfreqs:, 7, 0.666667, 0, 0, 0.666667, 0.210777, 0.410028, 0.470463, 0.491496
tmfreqs:, 8, 0.777778, 0, 0, 0.777778, 0.154161, 0.376642, 0.448183, 0.49367
tmfreqs:, 9, 0.888889, 0, 0, 0.888889, 0.0811204, 0.347417, 0.429307, 0.511152
tmfreqs:, 10, 1, 0, 0, 1, 1.07249e-05, 0.33712, 0.422017, 0.519675
